asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0BPJTH2BD,Tonies Everest Audio Play Character from Paw Patrol,https://m.media-amazon.com/images/I/716BuzvyfQL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BPJTH2BD,5.0,0,17.99,0.0,224,False,300
B0C2HFCD42,"Apple MFi Certified Photo Stick for iPhone 512GB Flash Drive for iPhone, USB Flash Drive for iPhone Thumb Drive, iPhone-Memory-Stick for iPad/iPhone/Computer Picture Keeper Portable Hard Drive",https://m.media-amazon.com/images/I/7198ztxlH9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C2HFCD42,5.0,0,54.99,59.99,55,False,0
B0BQ8LCFD7,"QNAP QM2-2P-344A Dual M.2 PCIe SSD Expansion Card, Supports up to Two M.2 2280/22110 Form Factor M.2 PCIe (Gen3 x4) SSDs, PCIe Gen3 x4 Host Interface, Low-Profile Bracket pre-Loaded, 2 x SSD",https://m.media-amazon.com/images/I/31+CYpIvxmL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BQ8LCFD7,5.0,0,149.0,0.0,55,False,0
B07K7W2PKF,Dell 6TB 7.2K 6Gbps NL SAS 3.5 HDD (NWCCG) (Renewed),https://m.media-amazon.com/images/I/51WIW6U-0uL._AC_UL320_.jpg,https://www.amazon.com/dp/B07K7W2PKF,5.0,0,48.0,0.0,55,False,0
B07B9HK4QG,"ICY DOCK 4 Bay 2.5 NVMe U.2/U.3 SSD PCIe 4.0 Rugged Mobile Rack Enclosure for 5.25"" Bay (4 x Mini-SAS HD) | ToughArmor MB699VP-B",https://m.media-amazon.com/images/I/71M1tbDiIgL._AC_UL320_.jpg,https://www.amazon.com/dp/B07B9HK4QG,5.0,0,365.23,0.0,55,False,0
B0CBP46SJ8,"120pcs Scrapbook Stickers, Quote Stickers for Journaling of 120 Different Quotes, Famous Words Scrapbook Stickers for Junk Journal Supplies, Vintage Stickers for Planner Enthusiasts",https://m.media-amazon.com/images/I/81F8O+vCrtL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CBP46SJ8,5.0,0,6.52,0.0,5,False,200
B004Z8SM6M,BOSCH RA1151 Router Subbase Centering Pin and Cone Works with 1/4 In. or 1/2 In. Collet,https://m.media-amazon.com/images/I/61Md3c+6joL._AC_UL320_.jpg,https://www.amazon.com/dp/B004Z8SM6M,4.7,0,7.89,8.69,207,True,700
B081Q6VVPV,"GinCoband 10PCS Bands for Galaxy Watch Active2 40mm 44mm/Galaxy Watch 4 40mm 44mm/Galaxy Watch 3 41mm/Galaxy Watch Active/Galaxy Watch 42mm, 20mm Quick Release with Rose Gold Buckle (10-PACK, Small)",https://m.media-amazon.com/images/I/71HyhFFE0KL._AC_UL320_.jpg,https://www.amazon.com/dp/B081Q6VVPV,4.7,7351,14.99,0.0,68,False,0
B08R3F6D1T,"Fullmosa Quick Release Watch band, Stainless Steel Watch strap 16mm, 18mm, 19mm, 20mm, 22mm or 24mm, Fits Samsung Galaxy Watch 6/5/4/3,Garmin Watch,Huawei Watch for Men Women",https://m.media-amazon.com/images/I/61OgBZegEFL._AC_UL320_.jpg,https://www.amazon.com/dp/B08R3F6D1T,4.4,24024,22.99,0.0,68,False,0
B0C148Z9RT,"24 Inch Suitcase with Separate Compartment, Water-resistant Large Suitcase with Spinner Wheels, TSA Lock, Business Classic Travel Suitcase, Black",https://m.media-amazon.com/images/I/81fdcTO5ZfL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C148Z9RT,5.0,0,99.99,159.99,104,False,0
B098V2XKP6,Hanna Instruments HI782-25 Marine Nitrate High Range Checker Reagents (25 Tests),https://m.media-amazon.com/images/I/512l5veYmYL._AC_UL320_.jpg,https://www.amazon.com/dp/B098V2XKP6,4.8,0,18.99,0.0,150,True,300
B0064OFP88,38mm Poly Seal Screw Caps (fits most 1/2 & 1 gallon jugs) [Bag of 12],https://m.media-amazon.com/images/I/61YW29ej8pL._AC_UL320_.jpg,https://www.amazon.com/dp/B0064OFP88,4.6,0,7.99,0.0,150,True,400
B0BXWX4KB9,"6Pcs HVAC Repairing Set, Boring Drill Bits, Air Conditioner Copper Tube Expander Swaging Tool Manual Copper Pipe Swage, Soft Copper tubing 1/4'', 3/8'',1/2'',5/8'',3/4'',7/8'' Bits Set",https://m.media-amazon.com/images/I/61hnouarR8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BXWX4KB9,4.0,0,9.99,0.0,207,True,700
B0CBX62NBM,Alphabet Sight Words Talking Flash Cards-Pocket Speech Audible，Sensory Toys for Autistic Children，Toddler Speech Therapy，Toddler Learning Educational Flash Cards for 1-4 Year Old Boys-Girls,https://m.media-amazon.com/images/I/71NNRzP1QnL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CBX62NBM,5.0,0,13.99,0.0,224,False,100
B0C7KPN3W7,"Cat Diary with Lock, Gift for 6 7 8 Year Old Girl, Secret Diary Journal Notebook with Coin Purse, Bracelet, Multicolored Pen, Post-it Notes, Stickers, Practical Gift for Birthday, Christmas (A Happy Cat)",https://m.media-amazon.com/images/I/81Zq+GC2DgL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C7KPN3W7,5.0,0,16.95,17.98,224,False,100
